Piston Cap Ball End,Activation Pin Cap,Activation Pin,Sleeve Body,Piston,Screen,Retainer,Retainer Clip,Extended Ball to Ball Distance,Compressed Ball to Ball Distance,Locked Ball to Ball Distance,Pallet Stop Shelf Gap,Retainer Clearance Distance,Extended Wedge Annulus Clearance,Ball End Type
00-049133,00-601661,00-601659,00-050610,00-050652,00-047064,00-049271,00-049278,53.00000000000001,46.515,50.651140000000005,4.824999999999999,5.505499999999997,0.2618000000000009,Female
00-050361,00-601661,00-048389,00-050610,00-049720,00-047064,00-049271,00-049278,53.00000000000001,43.495000000000005,50.651140000000005,1.8049999999999997,1.7304999999999984,0.2618000000000009,Male
00-050361,00-601661,00-048389,00-050610,00-050652,00-047064,00-049271,00-049278,53.00000000000001,43.495000000000005,50.651140000000005,1.8049999999999997,2.485499999999994,0.2618000000000009,Male
00-049133,00-601661,00-601659,00-050610,00-049720,00-047064,00-049271,00-049278,53.00000000000001,46.515,50.651140000000005,4.824999999999999,4.750499999999994,0.2618000000000009,Female
00-049426,00-601661,00-048389,00-050610,00-050652,00-047064,00-049271,00-049278,53.00000000000001,41.370000000000005,50.651140000000005,-0.3200000000000003,0.3604999999999938,0.2618000000000009,Male
00-050133,00-601661,00-048389,00-050610,00-049720,00-047064,00-049271,00-049278,53.00000000000001,41.705000000000005,50.651140000000005,0.014999999999998792,-0.05950000000000433,0.2618000000000009,Male
00-048395,00-601661,00-601659,00-050610,00-049720,00-047064,00-049271,00-049278,53.00000000000001,43.505,50.651140000000005,1.8149999999999977,1.7404999999999964,0.2618000000000009,Female
00-048395,00-601661,00-601659,00-050610,00-050652,00-047064,00-049271,00-049278,53.00000000000001,43.505,50.651140000000005,1.8149999999999977,2.495499999999992,0.2618000000000009,Female
00-049426,00-601661,00-048389,00-050610,00-049720,00-047064,00-049271,00-049278,53.00000000000001,41.370000000000005,50.651140000000005,-0.3200000000000003,-0.3945000000000052,0.2618000000000009,Male
00-050649,00-601661,00-601659,00-050017A,00-050018A,00-047064,00-049271,00-049278,53.325,45.21,51.823370000000004,2.99,3.100499999999996,0.16900000000000048,Female
00-048395,00-601661,00-601659,00-050017A,00-050018A,00-047064,00-049271,00-049278,53.325,42.625,51.823370000000004,0.40500000000000114,0.515499999999995,0.16900000000000048,Female
00-050361,00-601661,00-048389,00-050017A,00-050018A,00-047064,00-049271,00-049278,53.325,42.615,51.823370000000004,0.3949999999999996,0.505499999999997,0.16900000000000048,Male
00-050589,00-601661,00-601659,00-050017A,00-050018A,00-047064,00-049271,00-049278,53.325,45.385,51.823370000000004,3.164999999999999,3.2755,0.16900000000000048,Female
00-049133,00-601661,00-601659,00-050017A,00-050018A,00-047064,00-049271,00-049278,53.325,45.635,51.823370000000004,3.414999999999999,3.5255,0.16900000000000048,Female
00-048395,00-601661,00-601659,00-050651,00-050652,00-047064,00-049271,00-049278,53.50000000000001,43.505,51.68999000000001,1.3149999999999977,1.795499999999996,0.40060000000000073,Female
00-050361,00-601661,00-048389,00-050651,00-049720,00-047064,00-049271,00-049278,53.50000000000001,43.495000000000005,51.68999000000001,1.3049999999999997,1.0305000000000026,0.40060000000000073,Male
00-050361,00-601661,00-048389,00-050651,00-050652,00-047064,00-049271,00-049278,53.50000000000001,43.495000000000005,51.68999000000001,1.3049999999999997,1.785499999999998,0.40060000000000073,Male
00-050589,00-601661,00-601659,00-050651,00-049720,00-047064,00-049271,00-049278,53.50000000000001,46.265,51.68999000000001,4.074999999999999,3.8004999999999987,0.40060000000000073,Female
00-050133,00-601661,00-048389,00-050651,00-050652,00-047064,00-049271,00-049278,53.50000000000001,41.705000000000005,51.68999000000001,-0.4850000000000012,-0.004500000000001059,0.40060000000000073,Male
00-050649,00-601661,00-601659,00-050651,00-049720,00-047064,00-049271,00-049278,53.50000000000001,46.09,51.68999000000001,3.8999999999999986,3.6255000000000015,0.40060000000000073,Female
00-050649,00-601661,00-601659,00-050651,00-050652,00-047064,00-049271,00-049278,53.50000000000001,46.09,51.68999000000001,3.8999999999999986,4.380499999999997,0.40060000000000073,Female
00-049426,00-601661,00-048389,00-050651,00-050652,00-047064,00-049271,00-049278,53.50000000000001,41.370000000000005,51.68999000000001,-0.8200000000000003,-0.3395000000000019,0.40060000000000073,Male
00-048395,00-601661,00-601659,00-050651,00-049720,00-047064,00-049271,00-049278,53.50000000000001,43.505,51.68999000000001,1.3149999999999977,1.0405000000000006,0.40060000000000073,Female
00-050589,00-601661,00-601659,00-050651,00-050652,00-047064,00-049271,00-049278,53.50000000000001,46.265,51.68999000000001,4.074999999999999,4.555500000000001,0.40060000000000073,Female
00-049133,00-601661,00-601659,00-050651,00-049720,00-047064,00-049271,00-049278,53.50000000000001,46.515,51.68999000000001,4.324999999999999,4.050499999999999,0.40060000000000073,Female
00-049133,00-601661,00-601659,00-050651,00-050652,00-047064,00-049271,00-049278,53.50000000000001,46.515,51.68999000000001,4.324999999999999,4.805500000000001,0.40060000000000073,Female
00-050589,00-601661,00-601659,00-050610,00-050577,00-047064,00-049271,00-049278,53.89475000000001,46.86,51.19614000000001,4.625,5.6505,-0.0879499999999993,Female
00-049133,00-601661,00-601659,00-050610,00-050577,00-047064,00-049271,00-049278,53.89475000000001,47.11,51.19614000000001,4.875,5.9005,-0.0879499999999993,Female
00-050361,00-601661,00-048389,00-050610,00-050577,00-047064,00-049271,00-049278,53.89475000000001,44.09,51.19614000000001,1.8550000000000004,2.880499999999997,-0.0879499999999993,Male
00-050653,00-601661,00-048389,00-050610,00-050577,00-047064,00-049271,00-049278,53.89475000000001,41.395,51.19614000000001,-0.8399999999999999,0.18549999999999667,-0.0879499999999993,Male
00-049426,00-601661,00-048389,00-050610,00-050577,00-047064,00-049271,00-049278,53.89475000000001,41.965,51.19614000000001,-0.2699999999999996,0.755499999999997,-0.0879499999999993,Male
